Name,Set,Market $,Prices,Qty,TCG ID,Location,Date,
Hilda 171/086 SIR WHT,White Flare,$62.64,"NM $63.53 (last sold 67.99, 69.95, 66.00) · LP $57.29 (last sold 57.50, 56.70, 58.32) · eBay $73.50 (last sold 44.99, 59.99, 55.00)",1,"642,288",,2026-05-12,
Primeape 18/18 Promo SI,Southern Islands,$8.95,"NM $31.34 (last sold 29.99, 30.00, 30.99) · LP $24.13 (last sold 21.48, 21.44, 21.44) · MP $20.22 (last sold 25.89, 20.97, 19.79) · HP $14.93 (last sold 11.37, 10.53, 22.88) · eBay $25.10 (last sold 14.50, 26.99, 38.00)",1,"46,475",,2026-05-12,
Emboar 098/086 IR WHT,White Flare,$40.00,"NM $39.96 (last sold 36.00, 46.50, 39.94) · LP $30.87 (last sold 30.87) · eBay $32.38 (last sold 39.99, 45.00, 34.99)",1,"642,213",,2026-05-12,
Mega Sharpedo ex 127/094 SIR PFL,Phantasmal Flames,$24.35,"NM $24.60 (last sold 24.64, 24.81, 23.50) · LP $22.50 (last sold 25.99, 22.23, 19.28) · eBay $23.73 (last sold 25.30, 29.99, 20.00)",1,"662,193",,2026-05-12,
Eelektrik 114/086 IR BLK,Black Bolt,$18.17,"NM $20.27 (last sold 23.99, 20.15, 20.00)",1,"642,567",,2026-05-12,
Lt. Surge's Bargain 185/132 SIR MEG,Mega Evolution,$18.86,"NM $18.68 (last sold 18.00, 18.44, 19.07)",2,"654,524",,2026-05-12,
Wally's Compassion 186/132 SIR MEG,Mega Evolution,$23.68,"NM $23.51 (last sold 28.00, 24.99, 24.00) · LP $24.31 (last sold 24.31, 24.31) · eBay $18.90 (last sold 17.99, 19.99, 16.50)",2,"654,525",,2026-05-12,
Iono 237/091 SIR PAF,Paldean Fates,$29.42,"NM $29.31 (last sold 27.93, 29.90, 28.33) · LP $25.69 (last sold 26.37, 25.00) · MP $23.76 (last sold 23.76) · eBay $24.46 (last sold 28.99, 31.34, 24.99)",2,"535,101",,2026-05-12,
Latios 203/191 IR SSP,Surging Sparks,$35.84,"NM $35.38 (last sold 33.22, 34.22, 37.61) · LP $30.56 (last sold 32.71, 28.61, 30.37) · eBay $31.84 (last sold 35.21, 35.00, 33.00)",2,"589,987",,2026-05-12,
Pikachu 131/091 Shiny PAF,Paldean Fates,$86.04,"NM $86.53 (last sold 90.71, 92.40, 92.00)",1,"534,522",,2026-05-12,
Sawsbuck 166/162 IR TEF,Temporal Forces,$55.12,"NM $55.54 (last sold 58.25, 53.99, 50.99) · LP $36.95 (last sold 36.95) · eBay $50.54 (last sold 50.00, 44.00, 45.00)",1,"542,887",,2026-05-12,
Fire Energy 167/147 Rainbow SM03,SM - Burning Shadows,$14.44,"NM $29.47 (last sold 39.50, 27.95, 29.99) · LP $21.57 (last sold 27.19, 23.00, 21.46) · MP $18.25 (last sold 17.75, 18.78, 18.21) · eBay $15.18 (last sold 14.63, 19.99, 14.00)",1,"138,635",,2026-05-12,
Terrakion 135/086 TCG WHT,White Flare,$22.73,"NM $22.87 (last sold 22.72, 24.99, 23.00) · LP $20.33 (last sold 24.00, 20.00, 17.00) · eBay $19.44 (last sold 14.99, 22.22, 22.07)",1,"642,248",,2026-05-12,
Mega Lucario ex 160/132 UR MEG,Mega Evolution,$15.88,"NM $15.78 (last sold 13.29, 17.04, 12.49) · LP $15.53 (last sold 14.49, 16.69, 15.40) · eBay $15.14 (last sold 16.99, 14.99, 15.25)",1,"654,499",,2026-05-12,
Rayquaza V SWSH147 SWSD,Sword & Shield Promo Cards,$19.61,"NM $19.66 (last sold 19.40, 20.15, 21.99) · LP $11.93 (last sold 9.82, 12.99, 12.99) · MP $8.50 (last sold 7.00, 9.99) · HP $4.91 (last sold 4.25, 5.57) · eBay $16.98 (last sold 17.95, 14.97, 17.99)",1,"250,577",,2026-05-12,
Vileplume GX 4/236 UR SM12,SM - Cosmic Eclipse,$18.01,"NM $18.28 (last sold 18.43, 19.05, 26.18) · LP $17.74 (last sold 16.99, 13.74, 20.97) · MP $12.53 (last sold 12.53) · eBay $40.47 (last sold 16.99, 20.40, 124.95)",1,"201,139",,2026-05-12,
Steven's Resolve 165/168 FA CES,SM - Celestial Storm,$44.16,"NM $52.65 (last sold 48.63, 56.92, 55.80) · LP $45.18 (last sold 43.67, 42.37, 49.51) · MP $40.26 (last sold 40.26) · eBay $19.03 (last sold 6.81, 42.76, 6.81)",1,"171,017",,2026-05-12,
Sudowoodo 219/193 IR PAL,Paldea Evolved,$16.83,"NM $23.16 (last sold 28.00, 26.02, 19.01) · LP $18.96 (last sold 20.00, 19.00, 16.42) · eBay $22.17 (last sold 28.96, 17.40, 20.00)",1,"497,622",,2026-05-12,
Fraxure 146/086 IR BLK,Black Bolt,$18.78,"NM $21.68 (last sold 21.66, 21.66, 23.49) · LP $19.99 (last sold 19.99) · eBay $23.66 (last sold 29.24, 24.09, 17.25)",2,"642,600",,2026-05-12,
Sandy Shocks ex 159/131 SIR PRE,Prismatic Evolutions,$23.36,"NM $25.12 (last sold 25.71, 27.32, 24.79) · LP $25.09 (last sold 25.41, 26.18, 23.69) · eBay $19.99 (last sold 22.49, 19.50, 19.99)",2,"610,514",,2026-05-12,
Cynthia's Garchomp ex 241/182 SIR DRI,Destined Rivals,$34.02,"NM $34.04 (last sold 33.00, 32.99, 34.10)",1,"633,041",,2026-05-12,
Amarys 170/131 SIR PRE,Prismatic Evolutions,$8.24,"NM $15.85 (last sold 16.50, 16.45, 16.45) · LP $14.00 (last sold 13.25, 14.75) · eBay $15.35 (last sold 15.00, 16.00, 15.95)",1,"610,525",,2026-05-12,
