Name,Set,Market $,Prices,Qty,TCG ID,Location,Date,
Chi-Yu ex 259/193 SIR PAL,Paldea Evolved,$49.37,"NM $48.87 (last sold 47.00, 49.99, 49.50)",1,497678,,2026-05-12,2026-05-18
Walking Wake ex 205/162 SIR TEF,Temporal Forces,$60.35,"NM $67.38 (last sold 72.99, 71.00, 63.00)",1,542926,,2026-05-12,2026-05-18
Lumineon V 156/172 Alt Art BRS,Brilliant Stars,$11.79,"NM $14.62 (last sold 12.49, 15.00, 19.98)",1,263875,,2026-05-12,2026-05-18
Iron Leaves ex 203/162 SIR TEF,Temporal Forces,$31.87,"NM $34.50 (last sold 33.80, 33.70, 35.99)",1,542924,,2026-05-12,2026-05-18
Carmine 217/167 SIR TWM,Twilight Masquerade,$78.58,"NM $80.13 (last sold 87.74, 77.20, 78.00)",1,550261,,2026-05-12,2026-05-18
Bianca's Devotion 209/162 SIR TEF,Temporal Forces,$23.39,"NM $22.52 (last sold 22.98, 21.60, 22.98)",1,542930,,2026-05-16,2026-05-18
Munkidori ex 091/064 SIR SFA,Shrouded Fable,$17.88,"NM $18.02 (last sold 18.64, 17.80, 17.75)",1,560402,,2026-05-16,2026-05-18
Salvatore 212/162 SIR TEF,Temporal Forces,$16.90,"NM $17.69 (last sold 16.95, 12.00, 16.99)",1,542933,,2026-05-16,2026-05-18
Hoopa V - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG53/GG70,,$10.36,"NM $10.25 (last sold 9.50, 10.82, 10.36)",1,477181,,2026-05-16,2026-05-18
Great Tusk ex 246/198 SIR SVI,Scarlet & Violet Base Set,$11.77,"NM $12.72 (last sold 12.00, 14.59, 11.25)",1,490290,,2026-05-16,2026-05-18
Meowscarada ex 256/193 SIR PAL,Paldea Evolved,$32.94,"NM $30.54 (last sold 34.00, 32.99, 19.23)",1,497675,,2026-05-12,2026-05-17
Lt. Surge's Bargain 185/132 SIR MEG,Mega Evolution,$19.48,"NM $18.35 (last sold 19.28, 20.31, 19.14)",3,654524,,2026-05-12,2026-05-18
Scream Tail (Master Ball Pattern) 042/131 PRE,Prismatic Evolutions,$7.03,"NM $7.95 (last sold 7.78, 7.95, 7.65)",1,610665,,2026-05-12,2026-05-18
Penny 239/198 UR SVI,Scarlet & Violet Base Set,$3.85,"NM $4.83 (last sold 4.25, 4.25, 5.82)",2,490097,,2026-05-18,2026-05-18
Janine's Secret Art 173/131 SIR PRE,Prismatic Evolutions,$26.40,"NM $25.34 (last sold 23.99, 25.36, 26.00)",2,610528,,2026-05-12,2026-05-18
Bonnie 128/131 FA SM06,SM - Forbidden Light,$20.75,"NM $27.45 (last sold 21.79, 30.00, 31.00)",1,165766,,2026-05-16,2026-05-18
Magneton 159 SVP,Scarlet & Violet Promo Cards,$7.49,"NM $9.17 (last sold 9.23, 6.30, 11.95)",1,594386,,,2026-05-18
Miraidon ex 253/198 HR SVI,Scarlet & Violet Base Set,$7.09,"NM $5.93 (last sold 5.00, 5.25, 6.49)",1,490043,,,2026-05-18
Lugia VSTAR (Secret) (211) 211 SR SIT,Silver Tempest,$22.23,"NM $26.13 (last sold 27.69, 32.42, 22.68)",1,452009,,,2026-05-18
Giratina VSTAR (201) 201 Rainbow LOR,Lost Origin,$27.15,"NM $22.81 (last sold 22.32, 23.31)",1,284156,,,2026-05-18
Flaaffy (Secret) 280/264 Rainbow SWSH08,Fusion Strike,$6.94,"NM $6.16 (last sold 5.51, 4.99, 6.45)",1,253284,,2026-05-18,2026-05-18
Iron Leaves ex 176/131 HR PRE,SV: Prismatic Evolutions,$5.41,"NM $5.61 (last sold 5.60, 5.36, 5.72)",2,610531,,2026-05-18,2026-05-18
Cynthia's Garchomp ex 241/182 SIR DRI,Destined Rivals,$35.16,"NM $35.82 (last sold 36.99, 34.99, 36.55)",1,633041,,2026-05-12,2026-05-18
Orbeetle V TG12/TG30 UR SWSH11: TG,Lost Origin Trainer Gallery,$4.25,"NM $5.20 (last sold 6.00, 5.49, 3.00)",1,284272,,2026-05-18,2026-05-18
Eternatus V TG21/TG30 UR SWSH11: TG,Lost Origin Trainer Gallery,$5.18,"NM $5.13 (last sold 3.99, 5.79, 4.00)",1,284294,,2026-05-18,2026-05-18
Quagsire 030/147 AQ,Aquapolis,$41.86,"LP $41.40 (last sold 41.40) · MP $51.92 (last sold 68.85, 34.99)",1,88467,,2026-05-16,2026-05-18
Drayton 244/191 SIR SSP,Surging Sparks,$8.23,"NM $9.87 (last sold 15.65, 8.47, 7.57)",1,589925,,2026-05-16,2026-05-18
Steven's Resolve 165/168 FA CES,SM - Celestial Storm,$49.82,"NM $48.65 (last sold 48.67, 48.63)",1,171017,,2026-05-12,2026-05-18
Jynx TG04/TG30 UR SWSH12: TG,Silver Tempest Trainer Gallery,$3.25,"NM $3.10 (last sold 2.50, 3.17, 2.73)",1,452018,,2026-05-18,2026-05-18
Miltank GG24/GG70 UR CRZ:GG,SWSH: Crown Zenith: Galarian Gallery,$13.92,"NM $12.87 (last sold 13.00, 12.00, 13.85)",1,478043,,2026-05-18,2026-05-18
Hisuian Arcanine TG08/TG30 UR SWSH11: TG,Lost Origin Trainer Gallery,$5.29,"NM $6.46 (last sold 4.95, 5.84, 5.18)",1,284268,,2026-05-18,2026-05-18
Gumshoos 153/132 IR MEG,ME01: Mega Evolution,$4.32,"NM $3.69 (last sold 3.00, 3.00, 3.51)",1,654492,,2026-05-18,2026-05-18
