Name,Set,Market $,Prices,Qty,TCG ID,Location,Date
Blastoise 16/101 Promo BLE,16/101 (Cosmos Holo) - Blister Exclusives,$2.17,"NM $28.05 (last sold 69.36, 44.99, 15.00)",1,165634,,2026-05-12
Armarouge 115/091 Shiny PAF,Paldean Fates,$4.11,"NM $4.74 (last sold 4.73, 4.99, 4.53)",1,534497,,2026-05-12
Persian GX 104/095 Super Rare SM10,Double Blaze,$4.31,,1,573702,,2026-05-12
Umbreon GX 063/060 Super Rare SM1M,Collection Moon,,,1,573205,,2026-05-12
Glaceon GX 067/066 Super Rare SM5M,Ultra Moon,$31.99,,1,572321,,2026-05-12
Pidgeotto 197/091 Shiny PAF,Paldean Fates,$6.04,"NM $5.18 (last sold 8.00, 0.31, 5.32)",1,535165,,2026-05-12
Spiritomb 158/091 Shiny PAF,Paldean Fates,$5.31,"NM $5.31 (last sold 4.00, 5.30, 5.26)",1,534680,,2026-05-12
Kadabra 149/091 Shiny PAF,Paldean Fates,$6.11,"NM $6.11 (last sold 5.00, 6.10, 5.49)",1,534634,,2026-05-12
Dreepy SV060/SV122 SHFSV,Shiny Vault,$6.25,"NM $6.44 (last sold 5.00, 5.59, 6.18)",1,232426,,2026-05-12
Charcadet 114/091 Shiny PAF,Paldean Fates,$5.48,"NM $5.51 (last sold 4.82, 5.49, 5.00)",1,534496,,2026-05-12
Luxio 136/091 Shiny PAF,Paldean Fates,$6.04,"NM $6.14 (last sold 5.10, 5.50, 5.55)",1,534529,,2026-05-12
Raikou 050/185 AR VIV,Vivid Voltage,$6.17,"NM $6.40 (last sold 8.00, 5.85, 5.58)",1,226445,,2026-05-12
Tinkaton 105/193 Promo MCAP,105/193 (GameStop Exclusive) - Miscellaneous Cards & Products,$5.40,"NM $5.58 (last sold 5.43, 5.50, 6.73)",1,502625,,2026-05-12
Dragon of Mount Gulg 12/ FCA,Through the Ages,$98.38,"NM $120.59 (last sold 97.62, 211.89, 95.99)",2,618887,,2026-05-12
Garchomp C LV.X 145/147 Classic Collection CCC,Classic Collection,$4.87,"NM $6.44 (last sold 6.26, 6.30, 6.14)",1,250335,,2026-05-12
Greninja Star SWSH144/ SWSD,Sword & Shield Promo Cards,$29.33,"NM $29.81 (last sold 29.94, 27.72, 29.60)",1,248731,,2026-05-12
Leafeon GX 157/156 Rainbow SM05,SM - Ultra Prism,$82.51,"NM $90.03 (last sold 91.11, 82.99, 95.99)",1,157773,,2026-05-12
Poke Pad 113/088 UR POR,Perfect Order,$15.80,"NM $15.80 (last sold 15.85, 16.18, 16.39)",1,684333,,2026-05-12
Houndour 204/197 IR OBF,Obsidian Flames,$10.43,"NM $10.41 (last sold 10.44, 10.37, 9.87)",1,509951,,2026-05-12
Deoxys - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG12/GG70,,$15.99,"NM $17.17 (last sold 16.94, 16.69, 17.60)",2,478029,,2026-05-12
Zekrom - SWSH09: Brilliant Stars Trainer Gallery (SWSH09:TG) TG05/TG30,,$14.71,"NM $14.65 (last sold 14.63, 14.50, 19.01)",1,264205,,2026-05-12
Torkoal 237/236 Rainbow SM12,SM - Cosmic Eclipse,$11.73,"NM $11.36 (last sold 11.99, 10.25, 11.50)",1,201348,,2026-05-12
Mewtwo 052 SVP,Scarlet & Violet Promo Cards,$51.95,"NM $51.73 (last sold 54.99, 45.00, 54.99)",1,518872,,2026-05-12
Pikachu 005/025 Holo Rare CLB,Celebrations,$3.97,"NM $7.99 (last sold 8.53, 8.39, 8.03)",1,250303,,2026-05-12
Pikachu 173/165 IR MEW,Scarlet & Violet 151,$84.08,"NM $83.52 (last sold 67.98, 65.00, 91.53)",1,513721,,2026-05-12
Venusaur 15/102 Classic Collection CCC,Classic Collection,$11.35,"NM $12.60 (last sold 10.51, 9.52, 10.51)",1,250321,,2026-05-12
Blastoise 2/102 Classic Collection CCC,Classic Collection,$19.30,"NM $19.09 (last sold 17.52, 19.00, 19.40)",1,250319,,2026-05-12
Gengar - SWSH11: Lost Origin Trainer Gallery (SWSH11: TG) TG06/TG30,,$57.27,"NM $57.86 (last sold 55.13, 54.98, 53.69)",1,284266,,2026-05-12
Gengar ex 193/162 UR TEF,Temporal Forces,$66.66,"NM $68.01 (last sold 54.25, 64.00, 65.24)",1,542914,,2026-05-12
Snorlax - SWSH11: Lost Origin Trainer Gallery (SWSH11: TG) TG10/TG30,,$28.33,"NM $28.85 (last sold 32.88, 18.16, 26.35)",1,284270,,2026-05-12
Snorlax - 181/165 - SV2a: Pokemon Card 151 (SV2a) 181/165 Art Rare,,$9.96,,1,577145,,2026-05-12
Magmortar - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG03/GG70,,$11.42,"NM $11.65 (last sold 12.00, 11.40, 12.30)",1,478020,,2026-05-12
Bisharp 143/086 IR BLK,Black Bolt,$8.74,"NM $8.80 (last sold 10.99, 9.99, 8.48)",1,642597,,2026-05-12
Jirachi XY67a PR,XY67a - Alternate Art Promos,$121.80,"NM $214.98 (last sold 299.99, 229.99, 207.98) · LP $132.42 (last sold 150.78, 148.01, 128.54) · MP $106.47 (last sold 109.99, 108.68, 108.70) · HP $90.75 (last sold 91.50, 89.99) · eBay $200.62 (last sold 219.99, 209.40, 183.72)",1,148343,,2026-05-12
Yamask 122/086 IR WHT,White Flare,$6.84,"NM $6.85 (last sold 6.72, 8.24, 6.35)",1,642234,,2026-05-12
Vileplume 094/091 Shiny PAF,Paldean Fates,$5.02,"NM $6.69 (last sold 5.99, 7.49, 7.68)",1,534462,,2026-05-12
Weavile 228/217 IR ASC,Ascended Heroes,$7.36,"NM $7.23 (last sold 6.89, 7.99, 8.24)",1,676040,,2026-05-12
Poke Ball SWSH146 SWSD,Sword & Shield Promo Cards,$27.58,"NM $27.52 (last sold 27.06, 27.91, 30.00)",1,251103,,2026-05-12
Scizor 191/091 Shiny PAF,Paldean Fates,$8.54,"NM $8.57 (last sold 7.50, 8.75, 8.82)",1,535149,,2026-05-12
Oddish 092/091 Shiny PAF,Paldean Fates,$9.56,"NM $9.56 (last sold 9.49, 9.40, 9.69)",1,534459,,2026-05-12
Scyther 095/091 Shiny PAF,Paldean Fates,$10.40,"NM $10.38 (last sold 13.00, 14.79, 9.23)",1,534463,,2026-05-12
Abra 148/091 Shiny PAF,Paldean Fates,$10.08,"NM $10.07 (last sold 11.10, 9.88, 11.00)",1,534631,,2026-05-12
N's Zekrom 031 MEP,Mega Evolution Promo,$9.39,"NM $10.66 (last sold 10.79, 9.59, 9.69)",1,680480,,2026-05-12
Lucario GX SM100 SMP,SM100 - SM Promos,$9.92,"NM $10.72 (last sold 12.99, 19.99, 9.47)",1,162042,,2026-05-12
Charizard EX (100 Full Art) 100 UR FLF,XY - Flashfire,$259.31,"NM $281.33 (last sold 260.00, 319.01, 264.97) · LP $172.27 (last sold 155.30, 198.77, 185.00) · MP $131.04 (last sold 135.00, 115.14, 142.99) · HP $68.53 (last sold 68.53) · eBay $170.00 (last sold 150.00, 200.00, 159.99)",1,91238,,2026-05-12
Umbreon EX 119/124 FA FCO,XY - Fates Collided,$40.67,"NM $142.73 (last sold 130.00, 133.70, 168.46)",1,117891,,2026-05-12
Marill 232/217 IR ASC,Ascended Heroes,$16.53,"NM $16.53 (last sold 16.00, 16.65, 17.49)",1,676044,,2026-05-12
Victini 208 SVP,Scarlet & Violet Promo Cards,$13.91,"NM $16.10 (last sold 14.36, 13.16, 17.69)",1,646169,,2026-05-12
Garbodor 204/182 IR PAR,Paradox Rift,$15.57,"NM $15.86 (last sold 20.72, 20.48, 16.97)",1,523885,,2026-05-12
Gallade 244/236 Rainbow SM12,SM - Cosmic Eclipse,$8.50,"NM $10.23 (last sold 11.00, 10.19, 11.99)",1,201355,,2026-05-12
Marshadow 146/132 IR MEG,Mega Evolution,$16.10,"NM $15.97 (last sold 16.99, 16.99, 16.01)",1,654485,,2026-05-12
Latias - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG20/GG70,,$18.58,"NM $18.65 (last sold 17.50, 17.65, 18.47)",1,478038,,2026-05-12
Zekrom 114/114 Classic Collection CCC,Classic Collection,$21.54,"NM $21.47 (last sold 29.04, 20.77, 22.34)",1,250338,,2026-05-12
Blaziken 192/182 IR DRI,Destined Rivals,$12.51,"NM $12.23 (last sold 8.33, 10.00, 8.00)",1,632992,,2026-05-12
Team Rocket's Wobbuffet 203/ SVP,Scarlet & Violet Promo Cards,$13.76,"NM $13.75 (last sold 13.00, 16.46, 16.70)",1,635467,,2026-05-12
